name,url,address,phone,time,day,rest,traffic,tage,latitude,longitude
63스퀘어,https://korean.visitseoul.net/attractions/63스퀘어/KOP000210?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000210,서울 영등포구 여의도동 60 ,1833-7001,매일 10:00 - 19:00 아쿠아리움 / 연중무휴 (운영시간 마감 30분 전 입장마감) 매일 10:00 - 20:00 63아트 / 연중무휴 (운영시간 마감 30분 전 입장마감),월~일,연중무휴,1호선 대방역 6번 출구 셔틀버스 탑승    5호선 여의도역 5번 출구 셔틀버스 탑승    5호선 여의나루역 4번 출구 셔틀버스 탑승 ,"63아쿠아플라넷,아쿠아리움,63스퀘어, 전망대,63빌딩레스토랑, 데이트코스,여의도, 63아트, 63빌딩전망대,63빌딩",37.519676,126.939858
동대문,https://korean.visitseoul.net/attractions/흥인지문동대문/KOP001999?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001999,서울 종로구 종로6가 69 ,02-731-0412,09:00 ~ 18:00,화~일,월,4호선 동대문역 6번 출구    1호선 동대문역 6번 출구  2호선 동대문역사문화공원역 1번 출구,"동대문명소,동대문야시장, 동대문, 역사,흥인지문,서울데이트,서울명소, 문화재,서울사대문,서울여행,성곽,서울문화재,서울동대문볼거리",37.57116496,127.0096931
국립민속박물관,https://korean.visitseoul.net/attractions/국립민속박물관/KOP001644?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001644,서울 종로구 세종로 1-1 1-1,02-3704-3114,"3-5월 9:00 ~ 18:00 (17:00까지 입장) 6-8월 9:00 ~ 18:00 (17:00까지 입장), 주말?공휴일 9:00~19:00(18:00까지 입장)  9-10월 9:00 ~ 18:00 (17:00까지 입장) 11-2월 9:00 ~ 17:00 (16:00 까지 입장) ※ 문화가 있는 날(매월 마지막주 수?금?토요일) 연장 운영은 잠정 중지합니다.",월~일,"- 매년 1월1일  - 설, 추석 당일",3호선 경복궁 5번 출구 도보 5분 3호선 안국 1번 출구 도보 15분 5호선 광화문 2번 출구 도보 15분 ,"경복궁, 생활문화,박물관, 추억의거리, 시티투어버스정류장, 역사, 국립민속박물관,광화문, 삼청동, 인사동",37.5816456,126.9789948
경찰박물관,https://korean.visitseoul.net/attractions/경찰박물관/KOP020549?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP020549,서울 종로구 신문로2가 58 ,02-3150-3681	,09:30 ~ 17:30,화~일,"월요일(공휴일인 경우 그 다음날), 1월 1일, 설.추석 연휴",5호선 광화문역 1번 출구 5호선 서대문역 4번 출구,"경찰기념관,경찰,서대문경찰박물관,경찰박물관,어린이체험관,박물관,서울여행,어린이와함께,아이와서울여행,서울아이와함께가볼만한곳,종로가볼만한곳",37.57174796,126.9621832
디지털미디어시티,https://korean.visitseoul.net/attractions/디지털미디어시티/KOP011142?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP011142,서울특별시 마포구 상암동 택지개발지구 DMC,02-309-7067 (DMC홍보관),10:00 ~ 18:00 (단체관람시 사전문의 필요),월~토,"일요일, 공휴일","6호선 디지털미디어시티역 2번, 9번출구 ","디지털파빌리온, 한국문화콘텐츠센터, DMC홍보관, 누리꿈스퀘어,DMC문화공원, IT,디지털미디어시티,홍대, DMC",37.57770952,126.892043
경희궁,https://korean.visitseoul.net/attractions/경희궁/KOP001159?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001159,서울 종로구 신문로2가 1-126 ,02-724-0274,09:00 - 18:00,화 - 일,"월요일, 1월 1일",5호선 서대문역 4번 출구 도보 10분    5호선 광화문역 1번 출구 도보 10분    3호선 경복궁역 7번 출구 도보 10분,"종로데이트코스,서울고궁,걷기좋은길,서울가볼만한곳,서울5대궁궐,한국궁궐,경희궁,서울궁,고궁투어,서울산책,종로산책길,고궁데이트,경희궁산책길,서울역사박물관,종로산책",37.570694,126.96887
롯데월드 민속박물관,https://korean.visitseoul.net/attractions/롯데월드-민속박물관/KOP005815?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005815,서울 송파구 잠실동 40-1 서울 송파구 잠실동 40-1,1661-2000,평일 11:00 - 19:00(입장 및 매표 마감시간 18:30) 주말 11:00 - 20:00(입장 및 매표 마감시간 19:00),월 - 일,,8호선 잠실 3번출구 (롯데월드 쇼핑몰 3층) 2호선 잠실 3번출구 (롯데월드 쇼핑몰 3층),"잠실, 민속식당가, 전통음식,박물관, 잠실역,롯데월드민속박물관,전통, 궁중의례, 전통공예품, 어린이박물관, 전시",37.51232892,127.0976163
겸재정선미술관,https://korean.visitseoul.net/attractions/겸재정선미술관/KOP001961?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001961,서울 강서구 가양1동 243-1 ,02-2659-2206,"하절기(3~10월) 10:00~18:00 동절기(11~2월) 10:00~17:00 토/일/공휴일  10:00~17:00  *입장마감시간: 운영마감시간 1시간전 *전시해설 시간: 오전11시, 오후3시 (미술관행사 관계로 전시해설이 어려운 경우가 있음에 양해를 부탁드리고, 전화예약을 해주시면 감사하겠습니다.)",화~일,"-월요일 -1월 1일 -설날, 추석 당일","9호선 양천향교역 1번출구 - 400m직진, SK주유소 끼고 우측으로 100m","정선,문화, 미술관, 가양동, 전시, 서울식물원화가정선,양천향교역, 영화감상회, 겸재성선미술관",37.57222423,126.8384111
몽촌역사관,https://korean.visitseoul.net/attractions/몽촌역사관/KOP005507?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005507,서울 송파구 방이동 88-3 ,02-2152-5900,09:00~18:00,화~일,-월 -1월 1일,5호선 올림픽공원역 3번 출구    8호선 몽촌토성역 1번 출구 ," 백제박물관, 역사, 몽촌토성역,올림픽공원역, 박물관, 잠실, 꿈나무영화마당, 몽촌역사관,유물,움집터전시관",37.52055538,127.1150513
가을단풍길,https://korean.visitseoul.net/attractions/가을단풍길월드컵로/KOP038858?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP038858,서울 마포구 상암동 1730 ,,,,,,"가을단풍길,월드컵로가을단풍길,서울드라이브코스,서울산책코스,서울산책하기좋은길,강아지산책코스,서울가을단풍명소,단풍명소추천,가을산책하기좋은길,서울단풍,월드컵로",37.57817926,126.8817206
